timestamp,PID,CPU,RAM
2021-08-06 21:09:25.686492,1437788,126.7,1.3
2021-08-06 21:09:25.686492,491615,0.0,0.0
2021-08-06 21:09:25.686492,491677,0.0,5.5
2021-08-06 21:09:25.842859,1437788,173.3,1.4
2021-08-06 21:09:25.842859,491615,0.0,0.0
2021-08-06 21:09:25.842859,491677,0.0,5.5
2021-08-06 21:09:25.999423,1437788,226.7,1.4
2021-08-06 21:09:25.999423,491615,0.0,0.0
2021-08-06 21:09:25.999423,491677,0.0,5.5
2021-08-06 21:09:26.156096,1437788,133.3,1.5
2021-08-06 21:09:26.156096,491615,0.0,0.0
2021-08-06 21:09:26.156096,491677,0.0,5.5
2021-08-06 21:09:26.312403,1437788,206.7,1.6
2021-08-06 21:09:26.312403,491615,0.0,0.0
2021-08-06 21:09:26.312403,491677,0.0,5.5
2021-08-06 21:09:26.468136,1437788,240.0,1.6
2021-08-06 21:09:26.468136,491615,0.0,0.0
2021-08-06 21:09:26.468136,491677,0.0,5.5
2021-08-06 21:09:26.627371,1437788,300.0,1.6
2021-08-06 21:09:26.627371,491615,0.0,0.0
2021-08-06 21:09:26.627371,491677,0.0,5.5
2021-08-06 21:09:26.784056,1437788,187.5,1.8
2021-08-06 21:09:26.784056,491615,0.0,0.0
2021-08-06 21:09:26.784056,491677,0.0,5.5
2021-08-06 21:09:26.940807,1437788,206.7,1.9
2021-08-06 21:09:26.940807,491615,0.0,0.0
2021-08-06 21:09:26.940807,491677,0.0,5.5
2021-08-06 21:09:27.097208,1437788,260.0,2.0
2021-08-06 21:09:27.097208,491615,0.0,0.0
2021-08-06 21:09:27.097208,491677,0.0,5.5
2021-08-06 21:09:27.252870,1437788,160.0,2.2
2021-08-06 21:09:27.252870,491615,0.0,0.0
2021-08-06 21:09:27.252870,491677,0.0,5.5
2021-08-06 21:09:27.410078,1437788,226.7,2.4
2021-08-06 21:09:27.410078,491615,0.0,0.0
2021-08-06 21:09:27.410078,491677,0.0,5.5
2021-08-06 21:09:27.566431,1437788,133.3,2.4
2021-08-06 21:09:27.566431,491615,0.0,0.0
2021-08-06 21:09:27.566431,491677,0.0,5.5
2021-08-06 21:09:27.721964,1437788,153.3,2.4
2021-08-06 21:09:27.721964,491615,0.0,0.0
2021-08-06 21:09:27.721964,491677,0.0,5.5
2021-08-06 21:09:27.877746,1437788,260.0,2.5
2021-08-06 21:09:27.877746,491615,0.0,0.0
2021-08-06 21:09:27.877746,491677,0.0,5.5
2021-08-06 21:09:28.035276,1437788,273.3,2.7
2021-08-06 21:09:28.035276,491615,0.0,0.0
2021-08-06 21:09:28.035276,491677,0.0,5.5
2021-08-06 21:09:28.191275,1437788,326.7,2.8
2021-08-06 21:09:28.191275,491615,0.0,0.0
2021-08-06 21:09:28.191275,491677,0.0,5.5
2021-08-06 21:09:28.349180,1437788,293.3,2.9
2021-08-06 21:09:28.349180,491615,0.0,0.0
2021-08-06 21:09:28.349180,491677,0.0,5.5
2021-08-06 21:09:28.509181,1437788,240.0,2.9
2021-08-06 21:09:28.509181,491615,0.0,0.0
2021-08-06 21:09:28.509181,491677,0.0,5.5
2021-08-06 21:09:28.667032,1437788,340.0,2.9
2021-08-06 21:09:28.667032,491615,0.0,0.0
2021-08-06 21:09:28.667032,491677,0.0,5.5
2021-08-06 21:09:28.824087,1437788,280.0,3.2
2021-08-06 21:09:28.824087,491615,0.0,0.0
2021-08-06 21:09:28.824087,491677,0.0,5.5
2021-08-06 21:09:28.981459,1437788,300.0,3.5
2021-08-06 21:09:28.981459,491615,0.0,0.0
2021-08-06 21:09:28.981459,491677,0.0,5.5
2021-08-06 21:09:29.141586,1437788,313.3,3.6
2021-08-06 21:09:29.141586,491615,0.0,0.0
2021-08-06 21:09:29.141586,491677,0.0,5.5
2021-08-06 21:09:29.297098,1437788,146.7,3.8
2021-08-06 21:09:29.297098,491615,0.0,0.0
2021-08-06 21:09:29.297098,491677,0.0,5.5
2021-08-06 21:09:29.452614,1437788,113.3,3.8
2021-08-06 21:09:29.452614,491615,0.0,0.0
2021-08-06 21:09:29.452614,491677,0.0,5.5
2021-08-06 21:09:29.608053,1437788,113.3,3.9
2021-08-06 21:09:29.608053,491615,0.0,0.0
2021-08-06 21:09:29.608053,491677,0.0,5.5
2021-08-06 21:09:29.763340,1437788,173.3,3.9
2021-08-06 21:09:29.763340,491615,0.0,0.0
2021-08-06 21:09:29.763340,491677,0.0,5.5
2021-08-06 21:09:29.918964,1437788,126.7,3.9
2021-08-06 21:09:29.918964,491615,0.0,0.0
2021-08-06 21:09:29.918964,491677,0.0,5.5
2021-08-06 21:09:30.075609,1437788,173.3,4.1
2021-08-06 21:09:30.075609,491615,0.0,0.0
2021-08-06 21:09:30.075609,491677,0.0,5.5
2021-08-06 21:09:30.231457,1437788,246.7,4.1
2021-08-06 21:09:30.231457,491615,0.0,0.0
2021-08-06 21:09:30.231457,491677,0.0,5.5
2021-08-06 21:09:30.388184,1437788,106.7,4.1
2021-08-06 21:09:30.388184,491615,0.0,0.0
2021-08-06 21:09:30.388184,491677,0.0,5.5
2021-08-06 21:09:30.544576,1437788,206.7,4.1
2021-08-06 21:09:30.544576,491615,0.0,0.0
2021-08-06 21:09:30.544576,491677,0.0,5.5
2021-08-06 21:09:30.702109,1437788,193.3,4.1
2021-08-06 21:09:30.702109,491615,0.0,0.0
2021-08-06 21:09:30.702109,491677,0.0,5.5
2021-08-06 21:09:30.857585,1437788,200.0,4.1
2021-08-06 21:09:30.857585,491615,0.0,0.0
2021-08-06 21:09:30.857585,491677,0.0,5.5
2021-08-06 21:09:31.013294,1437788,113.3,4.1
2021-08-06 21:09:31.013294,491615,0.0,0.0
2021-08-06 21:09:31.013294,491677,0.0,5.5
2021-08-06 21:09:31.169079,1437788,146.7,4.2
2021-08-06 21:09:31.169079,491615,0.0,0.0
2021-08-06 21:09:31.169079,491677,0.0,5.5
2021-08-06 21:09:31.325939,1437788,226.7,4.2
2021-08-06 21:09:31.325939,491615,0.0,0.0
2021-08-06 21:09:31.325939,491677,0.0,5.5
2021-08-06 21:09:31.482446,1437788,160.0,4.3
2021-08-06 21:09:31.482446,491615,0.0,0.0
2021-08-06 21:09:31.482446,491677,0.0,5.5
2021-08-06 21:09:31.638139,1437788,233.3,4.5
2021-08-06 21:09:31.638139,491615,0.0,0.0
2021-08-06 21:09:31.638139,491677,0.0,5.5
2021-08-06 21:09:31.793829,1437788,220.0,4.8
2021-08-06 21:09:31.793829,491615,0.0,0.0
2021-08-06 21:09:31.793829,491677,0.0,5.5
2021-08-06 21:09:31.950551,1437788,173.3,4.8
2021-08-06 21:09:31.950551,491615,0.0,0.0
2021-08-06 21:09:31.950551,491677,0.0,5.5
2021-08-06 21:09:32.107171,1437788,240.0,4.9
2021-08-06 21:09:32.107171,491615,0.0,0.0
2021-08-06 21:09:32.107171,491677,0.0,5.5
2021-08-06 21:09:32.264375,1437788,300.0,4.9
2021-08-06 21:09:32.264375,491615,0.0,0.0
2021-08-06 21:09:32.264375,491677,0.0,5.5
2021-08-06 21:09:32.420657,1437788,300.0,5.0
2021-08-06 21:09:32.420657,491615,0.0,0.0
2021-08-06 21:09:32.420657,491677,0.0,5.5
2021-08-06 21:09:32.577111,1437788,360.0,5.0
2021-08-06 21:09:32.577111,491615,0.0,0.0
2021-08-06 21:09:32.577111,491677,0.0,5.5
2021-08-06 21:09:32.734108,1437788,281.2,5.0
2021-08-06 21:09:32.734108,491615,0.0,0.0
2021-08-06 21:09:32.734108,491677,0.0,5.5
2021-08-06 21:09:32.891050,1437788,346.7,5.0
2021-08-06 21:09:32.891050,491615,0.0,0.0
2021-08-06 21:09:32.891050,491677,0.0,5.5
2021-08-06 21:09:33.046713,1437788,333.3,5.1
2021-08-06 21:09:33.046713,491615,0.0,0.0
2021-08-06 21:09:33.046713,491677,0.0,5.5
2021-08-06 21:09:33.206380,1437788,366.7,5.2
2021-08-06 21:09:33.206380,491615,0.0,0.0
2021-08-06 21:09:33.206380,491677,0.0,5.5
2021-08-06 21:09:33.366290,1437788,373.3,5.3
2021-08-06 21:09:33.366290,491615,0.0,0.0
2021-08-06 21:09:33.366290,491677,0.0,5.5
2021-08-06 21:09:33.522514,1437788,313.3,5.3
2021-08-06 21:09:33.522514,491615,0.0,0.0
2021-08-06 21:09:33.522514,491677,0.0,5.5
2021-08-06 21:09:33.681935,1437788,253.3,5.3
2021-08-06 21:09:33.681935,491615,0.0,0.0
2021-08-06 21:09:33.681935,491677,0.0,5.5
2021-08-06 21:09:33.837723,1437788,226.7,5.5
2021-08-06 21:09:33.837723,491615,0.0,0.0
2021-08-06 21:09:33.837723,491677,0.0,5.5
2021-08-06 21:09:33.994728,1437788,313.3,5.6
2021-08-06 21:09:33.994728,491615,0.0,0.0
2021-08-06 21:09:33.994728,491677,0.0,5.5
2021-08-06 21:09:34.152056,1437788,333.3,5.6
2021-08-06 21:09:34.152056,491615,0.0,0.0
2021-08-06 21:09:34.152056,491677,0.0,5.5
2021-08-06 21:09:34.307833,1437788,186.7,5.6
2021-08-06 21:09:34.307833,491615,0.0,0.0
2021-08-06 21:09:34.307833,491677,0.0,5.5
2021-08-06 21:09:34.463488,1437788,253.3,5.7
2021-08-06 21:09:34.463488,491615,0.0,0.0
2021-08-06 21:09:34.463488,491677,0.0,5.5
2021-08-06 21:09:34.620332,1437788,220.0,5.7
2021-08-06 21:09:34.620332,491615,0.0,0.0
2021-08-06 21:09:34.620332,491677,0.0,5.5
2021-08-06 21:09:34.776324,1437788,146.7,5.7
2021-08-06 21:09:34.776324,491615,0.0,0.0
2021-08-06 21:09:34.776324,491677,0.0,5.5
2021-08-06 21:09:34.933671,1437788,306.7,5.7
2021-08-06 21:09:34.933671,491615,0.0,0.0
2021-08-06 21:09:34.933671,491677,0.0,5.5
2021-08-06 21:09:35.090806,1437788,320.0,5.9
2021-08-06 21:09:35.090806,491615,0.0,0.0
2021-08-06 21:09:35.090806,491677,0.0,5.5
2021-08-06 21:09:35.250255,1437788,346.7,6.3
2021-08-06 21:09:35.250255,491615,0.0,0.0
2021-08-06 21:09:35.250255,491677,0.0,5.5
2021-08-06 21:09:35.409714,1437788,326.7,6.3
2021-08-06 21:09:35.409714,491615,0.0,0.0
2021-08-06 21:09:35.409714,491677,0.0,5.5
2021-08-06 21:09:35.568671,1437788,380.0,6.3
2021-08-06 21:09:35.568671,491615,0.0,0.0
2021-08-06 21:09:35.568671,491677,0.0,5.5
2021-08-06 21:09:35.727786,1437788,226.7,6.3
2021-08-06 21:09:35.727786,491615,0.0,0.0
2021-08-06 21:09:35.727786,491677,0.0,5.5
2021-08-06 21:09:35.885474,1437788,300.0,6.3
2021-08-06 21:09:35.885474,491615,0.0,0.0
2021-08-06 21:09:35.885474,491677,0.0,5.5
2021-08-06 21:09:36.044067,1437788,212.5,6.5
2021-08-06 21:09:36.044067,491615,0.0,0.0
2021-08-06 21:09:36.044067,491677,0.0,5.5
2021-08-06 21:09:36.201077,1437788,300.0,6.5
2021-08-06 21:09:36.201077,491615,0.0,0.0
2021-08-06 21:09:36.201077,491677,0.0,5.5
2021-08-06 21:09:36.359240,1437788,80.0,6.5
2021-08-06 21:09:36.359240,491615,0.0,0.0
2021-08-06 21:09:36.359240,491677,0.0,5.5
2021-08-06 21:09:36.515463,1437788,40.0,6.5
2021-08-06 21:09:36.515463,491615,0.0,0.0
2021-08-06 21:09:36.515463,491677,0.0,5.5
2021-08-06 21:09:36.671594,1437788,6.7,6.5
2021-08-06 21:09:36.671594,491615,0.0,0.0
2021-08-06 21:09:36.671594,491677,0.0,5.5
2021-08-06 21:09:36.827303,491615,0.0,0.0
2021-08-06 21:09:36.827303,491677,0.0,5.5
2021-08-06 21:09:36.827303,1437788,0.0,6.5
2021-08-06 21:09:36.982807,491615,0.0,0.0
2021-08-06 21:09:36.982807,491677,0.0,5.5
2021-08-06 21:09:36.982807,1437788,0.0,6.5
2021-08-06 21:09:37.138468,491615,0.0,0.0
2021-08-06 21:09:37.138468,491677,0.0,5.5
2021-08-06 21:09:37.138468,1437788,0.0,6.5
2021-08-06 21:09:37.294169,491615,0.0,0.0
2021-08-06 21:09:37.294169,491677,0.0,5.5
2021-08-06 21:09:37.294169,1437788,0.0,6.5
2021-08-06 21:09:37.449693,491615,0.0,0.0
2021-08-06 21:09:37.449693,491677,0.0,5.5
2021-08-06 21:09:37.449693,1437788,0.0,6.5
2021-08-06 21:09:37.605138,491615,0.0,0.0
2021-08-06 21:09:37.605138,491677,0.0,5.5
2021-08-06 21:09:37.605138,1437788,0.0,6.5
2021-08-06 21:09:37.760601,491615,0.0,0.0
2021-08-06 21:09:37.760601,491677,0.0,5.5
2021-08-06 21:09:37.760601,1437788,0.0,6.5
2021-08-06 21:09:37.916097,491615,0.0,0.0
2021-08-06 21:09:37.916097,491677,0.0,5.5
2021-08-06 21:09:37.916097,1437788,0.0,6.5
2021-08-06 21:09:38.071609,491615,0.0,0.0
2021-08-06 21:09:38.071609,491677,0.0,5.5
2021-08-06 21:09:38.071609,1437788,0.0,6.5
2021-08-06 21:09:38.227289,491615,0.0,0.0
2021-08-06 21:09:38.227289,491677,0.0,5.5
2021-08-06 21:09:38.227289,1437788,0.0,6.5
2021-08-06 21:09:38.382832,491615,0.0,0.0
2021-08-06 21:09:38.382832,491677,0.0,5.5
2021-08-06 21:09:38.382832,1437788,0.0,6.5
2021-08-06 21:09:38.538304,491615,0.0,0.0
2021-08-06 21:09:38.538304,491677,0.0,5.5
2021-08-06 21:09:38.538304,1437788,0.0,6.5
2021-08-06 21:09:38.693980,491615,0.0,0.0
2021-08-06 21:09:38.693980,491677,0.0,5.5
2021-08-06 21:09:38.693980,1437788,0.0,6.5
2021-08-06 21:09:38.849951,491615,0.0,0.0
2021-08-06 21:09:38.849951,491677,0.0,5.5
2021-08-06 21:09:38.849951,1437788,0.0,6.5
2021-08-06 21:09:39.005733,1437788,6.7,6.5
2021-08-06 21:09:39.005733,491615,0.0,0.0
2021-08-06 21:09:39.005733,491677,0.0,5.5
2021-08-06 21:09:39.161591,491615,0.0,0.0
2021-08-06 21:09:39.161591,491677,0.0,5.5
2021-08-06 21:09:39.161591,1437788,0.0,6.5
2021-08-06 21:09:39.317096,491615,0.0,0.0
2021-08-06 21:09:39.317096,491677,0.0,5.5
2021-08-06 21:09:39.317096,1437788,0.0,6.5
2021-08-06 21:09:39.472895,1437788,6.7,6.5
2021-08-06 21:09:39.472895,491615,0.0,0.0
2021-08-06 21:09:39.472895,491677,0.0,5.5
2021-08-06 21:09:39.628452,491615,0.0,0.0
2021-08-06 21:09:39.628452,491677,0.0,5.5
2021-08-06 21:09:39.628452,1437788,0.0,6.5
2021-08-06 21:09:39.784085,1437788,25.0,6.5
2021-08-06 21:09:39.784085,491615,0.0,0.0
2021-08-06 21:09:39.784085,491677,0.0,5.5
2021-08-06 21:09:39.939963,1437788,6.7,6.4
2021-08-06 21:09:39.939963,491615,0.0,0.0
2021-08-06 21:09:39.939963,491677,0.0,5.5
2021-08-06 21:09:40.095658,1437788,6.7,6.4
2021-08-06 21:09:40.095658,491615,0.0,0.0
2021-08-06 21:09:40.095658,491677,0.0,5.5
2021-08-06 21:09:40.251742,1437788,80.0,6.4
2021-08-06 21:09:40.251742,491615,0.0,0.0
2021-08-06 21:09:40.251742,491677,0.0,5.5
2021-08-06 21:09:40.407784,491615,0.0,0.0
2021-08-06 21:09:40.407784,491677,0.0,5.5
2021-08-06 21:09:40.407784,1437788,0.0,6.4
2021-08-06 21:09:40.563226,491615,0.0,0.0
2021-08-06 21:09:40.563226,491677,0.0,5.5
2021-08-06 21:09:40.563226,1437788,0.0,6.4
2021-08-06 21:09:40.718705,491615,0.0,0.0
2021-08-06 21:09:40.718705,491677,0.0,5.5
2021-08-06 21:09:40.718705,1437788,0.0,6.4
2021-08-06 21:09:40.874239,491615,0.0,0.0
2021-08-06 21:09:40.874239,491677,0.0,5.5
2021-08-06 21:09:40.874239,1437788,0.0,6.4
2021-08-06 21:09:41.029784,491615,0.0,0.0
2021-08-06 21:09:41.029784,491677,0.0,5.5
2021-08-06 21:09:41.029784,1437788,0.0,6.4
2021-08-06 21:09:41.185480,491615,0.0,0.0
2021-08-06 21:09:41.185480,491677,0.0,5.5
