timestamp,PID,CPU,RAM
2021-08-24 01:17:08.172833,324411,112.5,1.2
2021-08-24 01:17:08.172833,77402,0.0,0.0
2021-08-24 01:17:08.172833,77467,0.0,5.1
2021-08-24 01:17:08.329461,324411,146.7,1.3
2021-08-24 01:17:08.329461,77402,0.0,0.0
2021-08-24 01:17:08.329461,77467,0.0,5.1
2021-08-24 01:17:08.485841,324411,193.3,1.4
2021-08-24 01:17:08.485841,77402,0.0,0.0
2021-08-24 01:17:08.485841,77467,0.0,5.1
2021-08-24 01:17:08.642462,324411,206.7,1.4
2021-08-24 01:17:08.642462,77402,0.0,0.0
2021-08-24 01:17:08.642462,77467,0.0,5.1
2021-08-24 01:17:08.799416,324411,160.0,1.5
2021-08-24 01:17:08.799416,77402,0.0,0.0
2021-08-24 01:17:08.799416,77467,0.0,5.1
2021-08-24 01:17:08.956153,324411,240.0,1.6
2021-08-24 01:17:08.956153,77402,0.0,0.0
2021-08-24 01:17:08.956153,77467,0.0,5.1
2021-08-24 01:17:09.113209,324411,231.2,1.6
2021-08-24 01:17:09.113209,77402,0.0,0.0
2021-08-24 01:17:09.113209,77467,0.0,5.1
2021-08-24 01:17:09.270333,324411,260.0,1.7
2021-08-24 01:17:09.270333,77402,0.0,0.0
2021-08-24 01:17:09.270333,77467,0.0,5.1
2021-08-24 01:17:09.426599,324411,213.3,1.8
2021-08-24 01:17:09.426599,77402,0.0,0.0
2021-08-24 01:17:09.426599,77467,0.0,5.1
2021-08-24 01:17:09.584744,324411,206.7,1.9
2021-08-24 01:17:09.584744,77402,0.0,0.0
2021-08-24 01:17:09.584744,77467,0.0,5.1
2021-08-24 01:17:09.740488,324411,226.7,2.0
2021-08-24 01:17:09.740488,77402,0.0,0.0
2021-08-24 01:17:09.740488,77467,0.0,5.1
2021-08-24 01:17:09.898593,324411,106.7,2.1
2021-08-24 01:17:09.898593,77402,0.0,0.0
2021-08-24 01:17:09.898593,77467,0.0,5.1
2021-08-24 01:17:10.055787,324411,253.3,2.4
2021-08-24 01:17:10.055787,77402,0.0,0.0
2021-08-24 01:17:10.055787,77467,0.0,5.1
2021-08-24 01:17:10.212471,324411,153.3,2.4
2021-08-24 01:17:10.212471,77402,0.0,0.0
2021-08-24 01:17:10.212471,77467,0.0,5.1
2021-08-24 01:17:10.368241,324411,133.3,2.4
2021-08-24 01:17:10.368241,77402,0.0,0.0
2021-08-24 01:17:10.368241,77467,0.0,5.1
2021-08-24 01:17:10.525000,324411,186.7,2.5
2021-08-24 01:17:10.525000,77402,0.0,0.0
2021-08-24 01:17:10.525000,77467,0.0,5.1
2021-08-24 01:17:10.682002,324411,326.7,2.6
2021-08-24 01:17:10.682002,77402,0.0,0.0
2021-08-24 01:17:10.682002,77467,0.0,5.1
2021-08-24 01:17:10.839597,324411,286.7,2.8
2021-08-24 01:17:10.839597,77402,0.0,0.0
2021-08-24 01:17:10.839597,77467,0.0,5.1
2021-08-24 01:17:10.996295,324411,293.3,2.8
2021-08-24 01:17:10.996295,77467,6.7,5.1
2021-08-24 01:17:10.996295,77402,0.0,0.0
2021-08-24 01:17:11.153720,324411,250.0,2.9
2021-08-24 01:17:11.153720,77402,0.0,0.0
2021-08-24 01:17:11.153720,77467,0.0,5.1
2021-08-24 01:17:11.310774,324411,273.3,2.9
2021-08-24 01:17:11.310774,77402,0.0,0.0
2021-08-24 01:17:11.310774,77467,0.0,5.1
2021-08-24 01:17:11.467152,324411,260.0,3.0
2021-08-24 01:17:11.467152,77402,0.0,0.0
2021-08-24 01:17:11.467152,77467,0.0,5.1
2021-08-24 01:17:11.624488,324411,286.7,3.3
2021-08-24 01:17:11.624488,77402,0.0,0.0
2021-08-24 01:17:11.624488,77467,0.0,5.1
2021-08-24 01:17:11.784230,324411,326.7,3.5
2021-08-24 01:17:11.784230,77402,0.0,0.0
2021-08-24 01:17:11.784230,77467,0.0,5.1
2021-08-24 01:17:11.943883,324411,266.7,3.8
2021-08-24 01:17:11.943883,77402,0.0,0.0
2021-08-24 01:17:11.943883,77467,0.0,5.1
2021-08-24 01:17:12.100509,324411,126.7,3.8
2021-08-24 01:17:12.100509,77402,0.0,0.0
2021-08-24 01:17:12.100509,77467,0.0,5.1
2021-08-24 01:17:12.257548,324411,126.7,3.8
2021-08-24 01:17:12.257548,77402,0.0,0.0
2021-08-24 01:17:12.257548,77467,0.0,5.1
2021-08-24 01:17:12.414424,324411,100.0,3.9
2021-08-24 01:17:12.414424,77402,0.0,0.0
2021-08-24 01:17:12.414424,77467,0.0,5.1
2021-08-24 01:17:12.570704,324411,153.3,3.8
2021-08-24 01:17:12.570704,77402,0.0,0.0
2021-08-24 01:17:12.570704,77467,0.0,5.1
2021-08-24 01:17:12.728005,324411,113.3,3.8
2021-08-24 01:17:12.728005,77402,0.0,0.0
2021-08-24 01:17:12.728005,77467,0.0,5.1
2021-08-24 01:17:12.885416,324411,240.0,4.0
2021-08-24 01:17:12.885416,77402,0.0,0.0
2021-08-24 01:17:12.885416,77467,0.0,5.1
2021-08-24 01:17:13.042166,324411,173.3,4.0
2021-08-24 01:17:13.042166,77402,0.0,0.0
2021-08-24 01:17:13.042166,77467,0.0,5.1
2021-08-24 01:17:13.199205,324411,153.3,4.1
2021-08-24 01:17:13.199205,77402,0.0,0.0
2021-08-24 01:17:13.199205,77467,0.0,5.1
2021-08-24 01:17:13.358360,324411,220.0,4.1
2021-08-24 01:17:13.358360,77402,0.0,0.0
2021-08-24 01:17:13.358360,77467,0.0,5.1
2021-08-24 01:17:13.515282,324411,200.0,4.1
2021-08-24 01:17:13.515282,77402,0.0,0.0
2021-08-24 01:17:13.515282,77467,0.0,5.1
2021-08-24 01:17:13.672599,324411,160.0,4.1
2021-08-24 01:17:13.672599,77402,0.0,0.0
2021-08-24 01:17:13.672599,77467,0.0,5.1
2021-08-24 01:17:13.830253,324411,126.7,4.2
2021-08-24 01:17:13.830253,77402,0.0,0.0
2021-08-24 01:17:13.830253,77467,0.0,5.1
2021-08-24 01:17:13.988091,324411,213.3,4.2
2021-08-24 01:17:13.988091,77402,0.0,0.0
2021-08-24 01:17:13.988091,77467,0.0,5.1
2021-08-24 01:17:14.145135,324411,253.3,4.2
2021-08-24 01:17:14.145135,77402,0.0,0.0
2021-08-24 01:17:14.145135,77467,0.0,5.1
2021-08-24 01:17:14.302064,324411,140.0,4.4
2021-08-24 01:17:14.302064,77402,0.0,0.0
2021-08-24 01:17:14.302064,77467,0.0,5.1
2021-08-24 01:17:14.459039,324411,233.3,4.6
2021-08-24 01:17:14.459039,77402,0.0,0.0
2021-08-24 01:17:14.459039,77467,0.0,5.1
2021-08-24 01:17:14.616430,324411,253.3,4.9
2021-08-24 01:17:14.616430,77402,0.0,0.0
2021-08-24 01:17:14.616430,77467,0.0,5.1
2021-08-24 01:17:14.773904,324411,213.3,4.9
2021-08-24 01:17:14.773904,77402,0.0,0.0
2021-08-24 01:17:14.773904,77467,0.0,5.1
2021-08-24 01:17:14.932310,324411,306.7,4.9
2021-08-24 01:17:14.932310,77402,0.0,0.0
2021-08-24 01:17:14.932310,77467,0.0,5.1
2021-08-24 01:17:15.089486,324411,360.0,5.0
2021-08-24 01:17:15.089486,77402,0.0,0.0
2021-08-24 01:17:15.089486,77467,0.0,5.1
2021-08-24 01:17:15.246156,324411,220.0,5.0
2021-08-24 01:17:15.246156,77402,0.0,0.0
2021-08-24 01:17:15.246156,77467,0.0,5.1
2021-08-24 01:17:15.402271,324411,353.3,5.0
2021-08-24 01:17:15.402271,77402,0.0,0.0
2021-08-24 01:17:15.402271,77467,0.0,5.1
2021-08-24 01:17:15.558444,324411,293.3,5.1
2021-08-24 01:17:15.558444,77402,0.0,0.0
2021-08-24 01:17:15.558444,77467,0.0,5.1
2021-08-24 01:17:15.715665,324411,353.3,5.1
2021-08-24 01:17:15.715665,77402,0.0,0.0
2021-08-24 01:17:15.715665,77467,0.0,5.1
2021-08-24 01:17:15.872351,324411,280.0,5.2
2021-08-24 01:17:15.872351,77402,0.0,0.0
2021-08-24 01:17:15.872351,77467,0.0,5.1
2021-08-24 01:17:16.029370,324411,373.3,5.3
2021-08-24 01:17:16.029370,77402,0.0,0.0
2021-08-24 01:17:16.029370,77467,0.0,5.1
2021-08-24 01:17:16.186398,324411,266.7,5.7
2021-08-24 01:17:16.186398,77402,0.0,0.0
2021-08-24 01:17:16.186398,77467,0.0,5.1
